time_step,stress_t,stress_tdt,pl_strain_t,pl_strain_tdt,el_strain_t,el_strain_tdt,strain_t,strain_tdt,energy_tdt,dissipation_rate,group,strain_dynamic_tdt,stress_dynamic_tdt
68,-54.16031979,-75.79746437,-0.002522188,-0.002565574,-0.000277812,-0.000334426,-0.0028,-0.0029,0.040254406,0.00290189,0,-0.003,-8.09718715
69,-75.79746437,-74.00963106,-0.002565574,-0.002616426,-0.000334426,-0.000383574,-0.0029,-0.003,0.044024784,0.003901113,0,-0.003,-8.09718715
70,-74.00963106,-92.00996779,-0.002616426,-0.00267376,-0.000383574,-0.00042624,-0.003,-0.0031,0.047661979,0.00488758,0,-0.003,-8.09718715
71,-92.00996779,-101.6366824,-0.00267376,-0.00273672,-0.00042624,-0.00046328,-0.0031,-0.0032,0.051093957,0.005833651,0,-0.003,-8.09718715
72,-101.6366824,-97.52743122,-0.00273672,-0.002804565,-0.00046328,-0.000495435,-0.0032,-0.0033,0.0542801,0.006722556,0,-0.003,-8.09718715
73,-97.52743122,-101.6816024,-0.002804565,-0.00287665,-0.000495435,-0.00052335,-0.0033,-0.0034,0.057201961,0.00754518,0,-0.003,-8.09718715
74,-101.6816024,-106.107614,-0.00287665,-0.002952417,-0.00052335,-0.000547583,-0.0034,-0.0035,0.059855877,0.008297714,0,-0.003,-8.09718715
75,-106.107614,-114.3626647,-0.002952417,-0.00303138,-0.000547583,-0.00056862,-0.0035,-0.0036,0.06224829,0.008979941,0,-0.003,-8.09718715
76,-114.3626647,-126.405138,-0.00303138,-0.003113117,-0.00056862,-0.000586883,-0.0036,-0.0037,0.06439194,0.009594005,0,-0.003,-8.09718715
77,-126.405138,-115.3628787,-0.003113117,-0.003197262,-0.000586883,-0.000602738,-0.0037,-0.0038,0.066303223,0.010143523,0,-0.003,-8.09718715
78,-115.3628787,-121.8712771,-0.003197262,-0.003283498,-0.000602738,-0.000616502,-0.0038,-0.0039,0.068000329,0.010632958,0,-0.003,-8.09718715
79,-121.8712771,-140.6369324,-0.003283498,-0.003371549,-0.000616502,-0.000628451,-0.0039,-0.004,0.0695022,0.011067182,0,-0.003,-8.09718715
80,-140.6369324,-80.23343848,-0.003371549,-0.003447678,-0.000628451,-0.000452322,-0.004,-0.0039,0.053568802,0.006886935,0,-0.003,-0.4785903
81,-80.23343848,-58.34694865,-0.003447678,-0.00350058,-0.000452322,-0.00029942,-0.0039,-0.0038,0.044412406,0.003167955,0,-0.003,-0.4785903
82,-58.34694865,-37.70152752,-0.00350058,-0.003533317,-0.00029942,-0.000166683,-0.0038,-0.0037,0.039987404,0.001091352,0,-0.003,-0.4785903
83,-37.70152752,-10.43232768,-0.003533317,-0.003548549,-0.000166683,-5.15E-05,-0.0037,-0.0036,0.038802156,0.000156743,0,-0.003,-0.4785903
84,-10.43232768,9.857129937,-0.003548549,-0.003548585,-5.15E-05,4.86E-05,-0.0036,-0.0035,0.039774833,-3.49E-07,0,-0.003,-0.4785903
85,9.857129937,26.49017194,-0.003548585,-0.003535429,4.86E-05,0.000135429,-0.0035,-0.0034,0.042126663,0.000356353,0,-0.003,-0.4785903
86,26.49017194,40.94292391,-0.003535429,-0.00351082,0.000135429,0.00021082,-0.0034,-0.0033,0.045305446,0.001037616,0,-0.003,-0.4785903
87,40.94292391,57.83989455,-0.00351082,-0.003476268,0.00021082,0.000276268,-0.0033,-0.0032,0.048921688,0.00190909,0,-0.003,-0.4785903
88,57.83989455,67.96652047,-0.003476268,-0.003433086,0.000276268,0.000333086,-0.0032,-0.0031,0.052706742,0.002876697,0,-0.003,-0.4785903
89,67.96652047,77.53030488,-0.003433086,-0.00338241,0.000333086,0.00038241,-0.0031,-0.003,0.056479145,0.003875761,0,-0.003,-0.4785903
90,77.53030488,79.15429597,-0.00338241,-0.00332523,0.00038241,0.00042523,-0.003,-0.0029,0.060120817,0.004862948,0,-0.003,-0.4785903
91,79.15429597,95.04148426,-0.00332523,-0.003262403,0.00042523,0.000462403,-0.0029,-0.0028,0.0635586,0.00581029,0,-0.003,-0.4785903
92,95.04148426,93.05250403,-0.003262403,-0.003194674,0.000462403,0.000494674,-0.0028,-0.0027,0.066751324,0.006700786,0,-0.003,-0.4785903
93,93.05250403,100.0208221,-0.003194674,-0.003122689,0.000494674,0.000522689,-0.0027,-0.0026,0.069679949,0.007525158,0,-0.003,-0.4785903
94,100.0208221,116.7340417,-0.003122689,-0.003047009,0.000522689,0.000547009,-0.0026,-0.0025,0.072340602,0.008279486,0,-0.003,-0.4785903
95,116.7340417,118.0637821,-0.003047009,-0.002968122,0.000547009,0.000568122,-0.0025,-0.0024,0.074739555,0.008963479,0,-0.003,-0.4785903
96,118.0637821,116.566906,-0.002968122,-0.002886451,0.000568122,0.000586451,-0.0024,-0.0023,0.076889367,0.009579234,0,-0.003,-0.4785903
97,116.566906,120.8634688,-0.002886451,-0.002802363,0.000586451,0.000602363,-0.0023,-0.0022,0.078806327,0.010130337,0,-0.003,-0.4785903
98,120.8634688,122.1685571,-0.002802363,-0.002716176,0.000602363,0.000616176,-0.0022,-0.0021,0.080508574,0.010621238,0,-0.003,-0.4785903
99,122.1685571,138.6880624,-0.002716176,-0.002628168,0.000616176,0.000628168,-0.0021,-0.002,0.082015172,0.011056802,0,-0.003,-0.4785903
100,138.6880624,124.4643527,-0.002628168,-0.002538578,0.000628168,0.000638578,-0.002,-0.0019,0.083344691,0.011442011,0,-0.003,-0.4785903
101,124.4643527,136.1207211,-0.002538578,-0.002447615,0.000638578,0.000647615,-0.0019,-0.0018,0.084515191,0.011781759,0,-0.003,-0.4785903
102,136.1207211,131.0346317,-0.002447615,-0.002355461,0.000647615,0.000655461,-0.0018,-0.0017,0.08554374,0.012080727,0,-0.003,-0.4785903
103,131.0346317,142.1958849,-0.002355461,-0.002262272,0.000655461,0.000662272,-0.0017,-0.0016,0.086445886,0.012343301,0,-0.003,-0.4785903
104,142.1958849,134.4993887,-0.002262272,-0.002168184,0.000662272,0.000668184,-0.0016,-0.0015,0.087235948,0.012573533,0,-0.003,-0.4785903
105,134.4993887,122.7773363,-0.002168184,-0.002073317,0.000668184,0.000673317,-0.0015,-0.0014,0.087927175,0.012775125,0,-0.003,-0.4785903
106,122.7773363,138.4065246,-0.002073317,-0.001977773,0.000673317,0.000677773,-0.0014,-0.0013,0.088531207,0.012951431,0,-0.003,-0.4785903
107,138.4065246,121.6969747,-0.001977773,-0.001881642,0.000677773,0.000681642,-0.0013,-0.0012,0.089058661,0.013105464,0,-0.003,-0.4785903
108,121.6969747,141.3533022,-0.001881642,-0.001785,0.000681642,0.000685,-0.0012,-0.0011,0.089518707,0.013239921,0,-0.003,-0.4785903
109,141.3533022,141.3375429,-0.001785,-0.001687915,0.000685,0.000687915,-0.0011,-0.001,0.089919762,0.013357202,0,-0.003,-0.4785903
110,141.3375429,144.6883207,-0.001687915,-0.001590446,0.000687915,0.000690446,-0.001,-0.0009,0.090269266,0.013459435,0,-0.003,-0.4785903
111,144.6883207,138.0409492,-0.001590446,-0.001492643,0.000690446,0.000692643,-0.0009,-0.0008,0.090573613,0.013548502,0,-0.003,-0.4785903
112,138.0409492,138.246803,-0.001492643,-0.001394551,0.000692643,0.000694551,-0.0008,-0.0007,0.090838654,0.013626061,0,-0.003,-0.4785903
113,138.246803,139.9823829,-0.001394551,-0.001296207,0.000694551,0.000696207,-0.0007,-0.0006,0.091069237,0.013693571,0,-0.003,-0.4785903
114,139.9823829,141.8953117,-0.001296207,-0.001197644,0.000696207,0.000697644,-0.0006,-0.0005,0.09126974,0.013752313,0,-0.003,-0.4785903
115,141.8953117,161.8800874,-0.001197644,-0.001098892,0.000697644,0.000698892,-0.0005,-0.0004,0.091444184,0.01380341,0,-0.003,-0.4785903
116,161.8800874,131.7873743,-0.001098892,-0.000999975,0.000698892,0.000699975,-0.0004,-0.0003,0.091595798,0.013847845,0,-0.003,-0.4785903
117,131.7873743,130.2642663,-0.000999975,-0.000900916,0.000699975,0.000700916,-0.0003,-0.0002,0.091727711,0.013886478,0,-0.003,-0.4785903
118,130.2642663,144.3178038,-0.000900916,-0.000801732,0.000700916,0.000701732,-0.0002,-0.0001,0.091842233,0.01392006,0,-0.003,-0.4785903
119,144.3178038,115.4458562,-0.000801732,-0.000702441,0.000701732,0.000702441,-0.0001,-2.44E-19,0.09194184,0.013949246,0,-0.003,-0.4785903
120,115.4458562,144.9521441,-0.000702441,-0.000603056,0.000702441,0.000703056,-2.44E-19,0.0001,0.092028316,0.013974608,0,-0.003,-0.4785903
121,144.9521441,144.9665302,-0.000603056,-0.00050359,0.000703056,0.00070359,0.0001,0.0002,0.092103459,0.013996644,0,-0.003,-0.4785903
122,144.9665302,140.9113827,-0.00050359,-0.000404054,0.00070359,0.000704054,0.0002,0.0003,0.092168795,0.014015788,0,-0.003,-0.4785903
123,140.9113827,133.4068515,-0.000404054,-0.000304457,0.000704054,0.000704457,0.0003,0.0004,0.092225574,0.014032418,0,-0.003,-0.4785903
124,133.4068515,139.7055425,-0.000304457,-0.000204806,0.000704457,0.000704806,0.0004,0.0005,0.09227477,0.014046863,0,-0.003,-0.4785903
125,139.7055425,149.1613232,-0.000204806,-0.00010511,0.000704806,0.00070511,0.0005,0.0006,0.092317641,0.014059408,0,-0.003,-0.4785903
126,149.1613232,135.1819553,-0.00010511,-5.37E-06,0.00070511,0.00070537,0.0006,0.0007,0.092354743,0.014070304,0,-0.003,-0.4785903
127,135.1819553,139.404039,-5.37E-06,9.44E-05,0.00070537,0.0007056,0.0007,0.0008,0.09238706,0.014079767,0,-0.003,-0.4785903
128,139.404039,139.2306615,9.44E-05,0.0001942,0.0007056,0.0007058,0.0008,0.0009,0.092415009,0.014087984,0,-0.003,-0.4785903
129,139.2306615,141.8446399,0.0001942,0.000294028,0.0007058,0.000705972,0.0009,0.001,0.092439295,0.014095119,0,-0.003,-0.4785903
130,141.8446399,143.3288356,0.000294028,0.000393878,0.000705972,0.000706122,0.001,0.0011,0.092460479,0.014101315,0,-0.003,-0.4785903
131,143.3288356,125.1399458,0.000393878,0.000493748,0.000706122,0.000706252,0.0011,0.0012,0.092478841,0.014106695,0,-0.003,-0.4785903
132,125.1399458,145.8532583,0.000493748,0.000593635,0.000706252,0.000706365,0.0012,0.0013,0.092494805,0.014111366,0,-0.003,-0.4785903
133,145.8532583,139.4585529,0.000593635,0.000693537,0.000706365,0.000706463,0.0013,0.0014,0.092508652,0.014115422,0,-0.003,-0.4785903
134,139.4585529,145.2453499,0.000693537,0.000793453,0.000706463,0.000706547,0.0014,0.0015,0.092520522,0.014118944,0,-0.003,-0.4785903
135,145.2453499,145.6062253,0.000793453,0.000893379,0.000706547,0.000706621,0.0015,0.0016,0.09253098,0.014122001,0,-0.003,-0.4785903
136,145.6062253,144.1718279,0.000893379,0.000993315,0.000706621,0.000706685,0.0016,0.0017,0.092540025,0.014124655,0,-0.003,-0.4785903
137,144.1718279,140.1799514,0.000993315,0.001093259,0.000706685,0.000706741,0.0017,0.0018,0.092547941,0.01412696,0,-0.003,-0.4785903
138,140.1799514,155.76912,0.001093259,0.001193211,0.000706741,0.000706789,0.0018,0.0019,0.092554726,0.014128961,0,-0.003,-0.4785903
139,155.76912,132.0207116,0.001193211,0.001293169,0.000706789,0.000706831,0.0019,0.002,0.092560663,0.014130698,0,-0.003,-0.4785903
140,132.0207116,145.5053932,0.001293169,0.001393133,0.000706831,0.000706867,0.002,0.0021,0.092565753,0.014132206,0,-0.003,-0.4785903
141,145.5053932,136.346148,0.001393133,0.001493101,0.000706867,0.000706899,0.0021,0.0022,0.092570277,0.014133515,0,-0.003,-0.4785903
142,136.346148,154.0946253,0.001493101,0.001593074,0.000706899,0.000706926,0.0022,0.0023,0.092574094,0.014134652,0,-0.003,-0.4785903
143,154.0946253,130.6285345,0.001593074,0.00169305,0.000706926,0.00070695,0.0023,0.0024,0.092577488,0.014135639,0,-0.003,-0.4785903
144,130.6285345,131.2301713,0.00169305,0.001793029,0.00070695,0.000706971,0.0024,0.0025,0.092580457,0.014136495,0,-0.003,-0.4785903
145,131.2301713,144.3869358,0.001793029,0.001893011,0.000706971,0.000706989,0.0025,0.0026,0.092583002,0.014137239,0,-0.003,-0.4785903
146,144.3869358,146.545998,0.001893011,0.001992996,0.000706989,0.000707004,0.0026,0.0027,0.092585123,0.014137885,0,-0.003,-0.4785903
147,146.545998,147.5502658,0.001992996,0.002092982,0.000707004,0.000707018,0.0027,0.0028,0.092587103,0.014138445,0,-0.003,-0.4785903
148,147.5502658,148.8044489,0.002092982,0.00219297,0.000707018,0.00070703,0.0028,0.0029,0.0925888,0.014138932,0,-0.003,-0.4785903
149,148.8044489,143.1450423,0.00219297,0.00229296,0.00070703,0.00070704,0.0029,0.003,0.092590214,0.014139355,0,-0.003,-0.4785903
150,143.1450423,145.5308666,0.00229296,0.002392951,0.00070704,0.000707049,0.003,0.0031,0.092591486,0.014139721,0,-0.003,-0.4785903
151,145.5308666,146.1131726,0.002392951,0.002492944,0.000707049,0.000707056,0.0031,0.0032,0.092592476,0.01414004,0,-0.003,-0.4785903
152,146.1131726,141.2475485,0.002492944,0.002592937,0.000707056,0.000707063,0.0032,0.0033,0.092593466,0.014140316,0,-0.003,-0.4785903
153,141.2475485,141.6451857,0.002592937,0.002692931,0.000707063,0.000707069,0.0033,0.0034,0.092594315,0.014140556,0,-0.003,-0.4785903
154,141.6451857,129.1416086,0.002692931,0.002792926,0.000707069,0.000707074,0.0034,0.0035,0.092595022,0.014140764,0,-0.003,-0.4785903
155,129.1416086,139.7424286,0.002792926,0.002892922,0.000707074,0.000707078,0.0035,0.0036,0.092595587,0.014140945,0,-0.003,-0.4785903
156,139.7424286,139.8816896,0.002892922,0.002992918,0.000707078,0.000707082,0.0036,0.0037,0.092596153,0.014141102,0,-0.003,-0.4785903
157,139.8816896,137.3801765,0.002992918,0.003092915,0.000707082,0.000707085,0.0037,0.0038,0.092596577,0.014141238,0,-0.003,-0.4785903
158,137.3801765,133.0514744,0.003092915,0.003192912,0.000707085,0.000707088,0.0038,0.0039,0.092597001,0.014141357,0,-0.003,-0.4785903
159,133.0514744,145.3339202,0.003192912,0.00329291,0.000707088,0.00070709,0.0039,0.004,0.092597284,0.014141459,0,-0.003,-0.4785903
160,145.3339202,100.3384029,0.00329291,0.003379409,0.00070709,0.000520591,0.004,0.0039,0.073179343,0.009006169,0,0,7.86399385
161,100.3384029,72.77794169,0.003379409,0.003441314,0.000520591,0.000358686,0.0039,0.0038,0.061564717,0.004440865,0,0,7.86399385
162,72.77794169,41.56496534,0.003441314,0.003481867,0.000358686,0.000218133,0.0038,0.0037,0.055432858,0.001769198,0,0,7.86399385
163,41.56496534,18.68607368,0.003481867,0.003503884,0.000218133,9.61E-05,0.0037,0.0036,0.053086998,0.000423246,0,0,7.86399385
164,18.68607368,-2.046027543,0.003503884,0.00350981,9.61E-05,-9.81E-06,0.0036,0.0035,5.33E-02,-1.16E-05,0,0,7.86399385
165,-2.046027543,-20.85463722,0.00350981,0.003501767,-9.81E-06,-0.000101767,0.0035,0.0034,0.055166447,0.000163702,0,0,7.86399385
166,-20.85463722,-34.80147435,0.003501767,0.003481598,-0.000101767,-0.000181598,0.0034,0.0033,0.058065869,0.000732562,0,0,7.86399385
167,-34.80147435,-51.60162754,0.003481598,0.0034509,-0.000181598,-0.0002509,0.0033,0.0032,0.061543441,0.001540407,0,0,7.86399385
168,-51.60162754,-59.89977497,0.0034509,0.003411063,-0.0002509,-0.000311063,0.0032,0.0031,0.065286336,0.002478362,0,0,7.86399385
169,-59.89977497,-74.46005857,0.003411063,0.003363292,-0.000311063,-0.000363292,0.0031,0.003,0.069081209,0.003470969,0,0,7.86399385
170,-74.46005857,-77.49598011,0.003363292,0.003308633,-0.000363292,-0.000408633,0.003,0.0029,0.072786774,0.004467082,0,0,7.86399385
171,-77.49598011,-86.22667003,0.003308633,0.003247995,-0.000408633,-0.000447995,0.0029,0.0028,0.076313567,0.005433126,0,0,7.86399385
172,-86.22667003,-95.08427197,0.003247995,0.003182165,-0.000447995,-0.000482165,0.0028,0.0027,0.079608685,0.006348111,0,0,7.86399385
173,-95.08427197,-100.233105,0.003182165,0.00311183,-0.000482165,-0.00051183,0.0027,0.0026,0.082645372,0.007199964,0,0,7.86399385
174,-100.233105,-118.8281924,0.00311183,0.003037582,-0.00051183,-0.000537582,0.0026,0.0025,0.085414136,0.007982836,0,0,7.86399385
175,-118.8281924,-105.6811127,0.003037582,0.002959939,-0.000537582,-0.000559939,0.0025,0.0024,0.087917846,0.008695142,0,0,7.86399385
176,-105.6811127,-122.2939725,0.002959939,0.002879347,-0.000559939,-0.000579347,0.0024,0.0023,0.090166638,0.009338139,0,0,7.86399385
177,-122.2939725,-115.6872574,0.002879347,0.002796195,-0.000579347,-0.000596195,0.0023,0.0022,0.092175578,0.009914898,0,0,7.86399385
178,-115.6872574,-124.5402836,0.002796195,0.002710822,-0.000596195,-0.000610822,0.0022,0.0021,0.093962476,0.010429584,0,0,7.86399385
179,-124.5402836,-120.3015051,0.002710822,0.00262352,-0.000610822,-0.00062352,0.0021,0.002,0.095545966,0.010886936,0,0,7.86399385
180,-120.3015051,-122.1855441,0.00262352,0.002534543,-0.00062352,-0.000634543,0.002,0.0019,0.096944879,0.011291919,0,0,7.86399385
181,-122.1855441,-121.3001911,0.002534543,0.002444112,-0.000634543,-0.000644112,0.0019,0.0018,0.098177581,0.01164948,0,0,7.86399385
182,-121.3001911,-127.3680762,0.002444112,0.00235242,-0.000644112,-0.00065242,0.0018,0.0017,0.099261642,0.0119644,0,0,7.86399385
