time_step,stress_t,stress_tdt,pl_strain_t,pl_strain_tdt,el_strain_t,el_strain_tdt,strain_t,strain_tdt,energy_tdt,dissipation_rate,group,strain_dynamic_tdt,stress_dynamic_tdt
98,120.4725507,123.235207,-0.002802363,-0.002716176,0.000602363,0.000616176,-0.0022,-0.0021,0.080508574,0.010621238,0,-0.003,-0.4785903
99,123.235207,125.6335337,-0.002716176,-0.002628168,0.000616176,0.000628168,-0.0021,-0.002,0.082015172,0.011056802,0,-0.003,-0.4785903
100,125.6335337,127.7155774,-0.002628168,-0.002538578,0.000628168,0.000638578,-0.002,-0.0019,0.083344691,0.011442011,0,-0.003,-0.4785903
101,127.7155774,129.5230483,-0.002538578,-0.002447615,0.000638578,0.000647615,-0.0019,-0.0018,0.084515191,0.011781759,0,-0.003,-0.4785903
102,129.5230483,131.0921561,-0.002447615,-0.002355461,0.000647615,0.000655461,-0.0018,-0.0017,0.08554374,0.012080727,0,-0.003,-0.4785903
103,131.0921561,132.4543354,-0.002355461,-0.002262272,0.000655461,0.000662272,-0.0017,-0.0016,0.086445886,0.012343301,0,-0.003,-0.4785903
104,132.4543354,133.6368752,-0.002262272,-0.002168184,0.000662272,0.000668184,-0.0016,-0.0015,0.087235948,0.012573533,0,-0.003,-0.4785903
105,133.6368752,134.6634658,-0.002168184,-0.002073317,0.000668184,0.000673317,-0.0015,-0.0014,0.087927175,0.012775125,0,-0.003,-0.4785903
106,134.6634658,135.5546731,-0.002073317,-0.001977773,0.000673317,0.000677773,-0.0014,-0.0013,0.088531207,0.012951431,0,-0.003,-0.4785903
107,135.5546731,136.3283511,-0.001977773,-0.001881642,0.000677773,0.000681642,-0.0013,-0.0012,0.089058661,0.013105464,0,-0.003,-0.4785903
108,136.3283511,136.999999,-0.001881642,-0.001785,0.000681642,0.000685,-0.0012,-0.0011,0.089518707,0.013239921,0,-0.003,-0.4785903
109,136.999999,137.5830724,-0.001785,-0.001687915,0.000685,0.000687915,-0.0011,-0.001,0.089919762,0.013357202,0,-0.003,-0.4785903
110,137.5830724,138.089252,-0.001687915,-0.001590446,0.000687915,0.000690446,-0.001,-0.0009,0.090269266,0.013459435,0,-0.003,-0.4785903
111,138.089252,138.5286785,-0.001590446,-0.001492643,0.000690446,0.000692643,-0.0009,-0.0008,0.090573613,0.013548502,0,-0.003,-0.4785903
112,138.5286785,138.9101549,-0.001492643,-0.001394551,0.000692643,0.000694551,-0.0008,-0.0007,0.090838654,0.013626061,0,-0.003,-0.4785903
113,138.9101549,139.2413234,-0.001394551,-0.001296207,0.000694551,0.000696207,-0.0007,-0.0006,0.091069237,0.013693571,0,-0.003,-0.4785903
114,139.2413234,139.5288187,-0.001296207,-0.001197644,0.000696207,0.000697644,-0.0006,-0.0005,0.09126974,0.013752313,0,-0.003,-0.4785903
115,139.5288187,139.7784,-0.001197644,-0.001098892,0.000697644,0.000698892,-0.0005,-0.0004,0.091444184,0.01380341,0,-0.003,-0.4785903
116,139.7784,139.9950674,-0.001098892,-0.000999975,0.000698892,0.000699975,-0.0004,-0.0003,0.091595798,0.013847845,0,-0.003,-0.4785903
117,139.9950674,140.1831615,-0.000999975,-0.000900916,0.000699975,0.000700916,-0.0003,-0.0002,0.091727711,0.013886478,0,-0.003,-0.4785903
118,140.1831615,140.3464503,-0.000900916,-0.000801732,0.000700916,0.000701732,-0.0002,-0.0001,0.091842233,0.01392006,0,-0.003,-0.4785903
119,140.3464503,140.4882052,-0.000801732,-0.000702441,0.000701732,0.000702441,-0.0001,-2.44E-19,0.09194184,0.013949246,0,-0.003,-0.4785903
120,140.4882052,140.611266,-0.000702441,-0.000603056,0.000702441,0.000703056,-2.44E-19,0.0001,0.092028316,0.013974608,0,-0.003,-0.4785903
121,140.611266,140.7180979,-0.000603056,-0.00050359,0.000703056,0.00070359,0.0001,0.0002,0.092103459,0.013996644,0,-0.003,-0.4785903
122,140.7180979,140.8108412,-0.00050359,-0.000404054,0.00070359,0.000704054,0.0002,0.0003,0.092168795,0.014015788,0,-0.003,-0.4785903
123,140.8108412,140.8913538,-0.000404054,-0.000304457,0.000704054,0.000704457,0.0003,0.0004,0.092225574,0.014032418,0,-0.003,-0.4785903
124,140.8913538,140.9612487,-0.000304457,-0.000204806,0.000704457,0.000704806,0.0004,0.0005,0.09227477,0.014046863,0,-0.003,-0.4785903
125,140.9612487,141.0219261,-0.000204806,-0.00010511,0.000704806,0.00070511,0.0005,0.0006,0.092317641,0.014059408,0,-0.003,-0.4785903
126,141.0219261,141.0746016,-0.00010511,-5.37E-06,0.00070511,0.000705373,0.0006,0.0007,0.092354743,0.014070304,0,-0.003,-0.4785903
